time_period,ref_area,freq,measure,unit_measure,activity,adjustment,transformation,time_horiz,methodology,obs_value,unit_mult,decimals,obs_status
2013-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.0566,0,2,A
2013-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.0218,0,2,A
2013-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.8939,0,2,A
2013-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.7209,0,2,A
2013-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.5168,0,2,A
2013-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.2378,0,2,A
2013-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.88168,0,2,A
2013-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.53575,0,2,A
2014-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.32426,0,2,A
2014-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.33697,0,2,A
2014-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.55332,0,2,A
2014-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.86407,0,2,A
2014-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.1597,0,2,A
2014-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.3737,0,2,A
2014-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.5111,0,2,A
2014-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.6194,0,2,A
2014-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.7233,0,2,A
2014-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.7838,0,2,A
2014-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.7868,0,2,A
2014-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.7317,0,2,A
2015-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.6225,0,2,A
2015-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.4261,0,2,A
2015-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.1428,0,2,A
2015-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.81397,0,2,A
2015-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.45927,0,2,A
2015-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.12407,0,2,A
2015-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,98.93152,0,2,A
2015-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,98.85452,0,2,A
2015-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,98.8652,0,2,A
